1556200269.161781 GLOBAL_POSITION_INT {time_boot_ms : 15673656, lat : 535040069, lon : 492214331, alt : 53290, relative_alt : -9, vx : -1, vy : 3, vz : 0, hdg : 15767}
1556200277.160864 GLOBAL_POSITION_INT {time_boot_ms : 15681656, lat : 535040102, lon : 492214338, alt : 53320, relative_alt : 20, vx : 1, vy : 2, vz : 0, hdg : 15994}
1556200284.159956 GLOBAL_POSITION_INT {time_boot_ms : 15688656, lat : 535040118, lon : 492214330, alt : 53260, relative_alt : -1, vx : -2, vy : 2, vz : -4, hdg : 16343}
1556200292.160719 GLOBAL_POSITION_INT {time_boot_ms : 15696656, lat : 535040143, lon : 492214334, alt : 53400, relative_alt : 131, vx : -1, vy : 1, vz : -4, hdg : 16607}
1556200300.159554 GLOBAL_POSITION_INT {time_boot_ms : 15704656, lat : 535040156, lon : 492214344, alt : 53400, relative_alt : 26, vx : -2, vy : 2, vz : 0, hdg : 16747}
1556200308.159285 GLOBAL_POSITION_INT {time_boot_ms : 15712656, lat : 535040161, lon : 492214346, alt : 53210, relative_alt : -169, vx : -1, vy : 3, vz : -3, hdg : 16735}
1556200315.15722 GLOBAL_POSITION_INT {time_boot_ms : 15719656, lat : 535040169, lon : 492214354, alt : 53520, relative_alt : 144, vx : -1, vy : 5, vz : -5, hdg : 16717}
1556200323.1561 GLOBAL_POSITION_INT {time_boot_ms : 15727656, lat : 535040182, lon : 492214362, alt : 53370, relative_alt : 0, vx : -2, vy : 4, vz : -4, hdg : 16483}
1556200331.155389 GLOBAL_POSITION_INT {time_boot_ms : 15735656, lat : 535040192, lon : 492214371, alt : 53510, relative_alt : 136, vx : -3, vy : 4, vz : -3, hdg : 16360}
1556200339.156284 GLOBAL_POSITION_INT {time_boot_ms : 15743656, lat : 535040201, lon : 492214397, alt : 53610, relative_alt : 176, vx : -1, vy : 6, vz : -2, hdg : 16272}
1556200346.158537 GLOBAL_POSITION_INT {time_boot_ms : 15750656, lat : 535040211, lon : 492214417, alt : 53480, relative_alt : 42, vx : -2, vy : 5, vz : -1, hdg : 16329}
1556200354.153168 GLOBAL_POSITION_INT {time_boot_ms : 15758656, lat : 535040212, lon : 492214429, alt : 53360, relative_alt : -77, vx : -2, vy : 6, vz : -1, hdg : 16565}
1556200362.15241 GLOBAL_POSITION_INT {time_boot_ms : 15766656, lat : 535040215, lon : 492214454, alt : 53410, relative_alt : -70, vx : -4, vy : 5, vz : 0, hdg : 17032}
1556200369.161398 GLOBAL_POSITION_INT {time_boot_ms : 15773656, lat : 535040209, lon : 492214483, alt : 53300, relative_alt : -185, vx : -4, vy : 6, vz : 0, hdg : 17472}
1556200377.152096 GLOBAL_POSITION_INT {time_boot_ms : 15781656, lat : 535040194, lon : 492214510, alt : 53430, relative_alt : -51, vx : -6, vy : 2, vz : -3, hdg : 17967}
1556200385.151396 GLOBAL_POSITION_INT {time_boot_ms : 15789656, lat : 535040165, lon : 492214526, alt : 53470, relative_alt : 25, vx : -8, vy : 4, vz : -7, hdg : 18405}
1556200393.149929 GLOBAL_POSITION_INT {time_boot_ms : 15797656, lat : 535040134, lon : 492214544, alt : 53420, relative_alt : 79, vx : -5, vy : 6, vz : -5, hdg : 18625}
1556200400.148739 GLOBAL_POSITION_INT {time_boot_ms : 15804656, lat : 535040121, lon : 492214568, alt : 53410, relative_alt : 61, vx : -5, vy : 5, vz : -1, hdg : 18692}
1556200408.147401 GLOBAL_POSITION_INT {time_boot_ms : 15812656, lat : 535040118, lon : 492214609, alt : 53220, relative_alt : -140, vx : -5, vy : 4, vz : 1, hdg : 18658}
1556200416.148137 GLOBAL_POSITION_INT {time_boot_ms : 15820656, lat : 535040124, lon : 492214649, alt : 53390, relative_alt : 25, vx : -4, vy : 4, vz : -2, hdg : 18750}
1556200424.146303 GLOBAL_POSITION_INT {time_boot_ms : 15828656, lat : 535040121, lon : 492214692, alt : 53260, relative_alt : -163, vx : -5, vy : 5, vz : -3, hdg : 18894}
1556200431.145541 GLOBAL_POSITION_INT {time_boot_ms : 15835655, lat : 535040111, lon : 492214735, alt : 53320, relative_alt : -101, vx : -5, vy : 5, vz : -1, hdg : 18940}
1556200439.146134 GLOBAL_POSITION_INT {time_boot_ms : 15843655, lat : 535040102, lon : 492214776, alt : 53260, relative_alt : -145, vx : -3, vy : 5, vz : -1, hdg : 18854}
1556200447.144055 GLOBAL_POSITION_INT {time_boot_ms : 15851655, lat : 535040099, lon : 492214827, alt : 53360, relative_alt : 50, vx : -6, vy : 8, vz : -2, hdg : 18842}
1556200455.1441 GLOBAL_POSITION_INT {time_boot_ms : 15859655, lat : 535040087, lon : 492214866, alt : 53360, relative_alt : 51, vx : -5, vy : 5, vz : -1, hdg : 18935}
1556200462.142373 GLOBAL_POSITION_INT {time_boot_ms : 15866655, lat : 535040083, lon : 492214899, alt : 53510, relative_alt : 54, vx : -5, vy : 3, vz : -2, hdg : 19101}
1556200470.141681 GLOBAL_POSITION_INT {time_boot_ms : 15874655, lat : 535040077, lon : 492214937, alt : 53320, relative_alt : -131, vx : -5, vy : 4, vz : -2, hdg : 19236}
1556200478.141208 GLOBAL_POSITION_INT {time_boot_ms : 15882655, lat : 535040068, lon : 492214980, alt : 53360, relative_alt : 127, vx : -6, vy : 5, vz : -4, hdg : 19422}
1556200485.141231 GLOBAL_POSITION_INT {time_boot_ms : 15889655, lat : 535040073, lon : 492215024, alt : 53410, relative_alt : 173, vx : -3, vy : 4, vz : -2, hdg : 19505}
1556200493.140834 GLOBAL_POSITION_INT {time_boot_ms : 15897655, lat : 535040063, lon : 492215070, alt : 53510, relative_alt : 246, vx : -7, vy : 4, vz : -4, hdg : 19638}
